"TOA5","DroughtNet","CR1000","73052","CR1000.Std.28.02","CPU:DryNet20151110.CR1","60679","soilM"
"TIMESTAMP","RECORD","BattV_Avg","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","VW_Avg(13)","VW_Avg(14)","VW_Avg(15)","VW_Avg(16)"
"TS","RN","Volts","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-04-30 13:45:00",959,13.85,0.045,0.048,0.037,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.035,0.033,0.038,0.039,0.06,0.048
"2018-04-30 14:00:00",960,13.86,0.045,0.049,0.037,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.035,0.033,0.038,0.039,0.06,0.048
"2018-04-30 14:15:00",961,13.88,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.035,0.033,0.038,0.039,0.06,0.048
"2018-04-30 14:30:00",962,13.88,0.044,0.048,0.037,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.035,0.033,0.038,0.039,0.06,0.047
"2018-04-30 14:45:00",963,13.91,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 15:00:00",964,13.93,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 15:15:00",965,13.93,0.044,0.049,0.038,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 15:30:00",966,13.95,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.048
"2018-04-30 15:45:00",967,13.98,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.048
"2018-04-30 16:00:00",968,13.98,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.042,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.048
"2018-04-30 16:15:00",969,13.97,0.044,0.049,0.037,0.026,0.038,0.026,0.052,0.042,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 16:30:00",970,13.99,0.044,0.049,0.037,0.026,0.038,0.026,0.052,0.042,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 16:45:00",971,14,0.044,0.049,0.037,0.026,0.038,0.026,0.052,0.042,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 17:00:00",972,13.99,0.044,0.049,0.037,0.026,0.038,0.026,0.052,0.041,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 17:15:00",973,13.78,0.044,0.049,0.037,0.026,0.038,0.026,0.052,0.041,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 17:30:00",974,13.27,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.048
"2018-04-30 17:45:00",975,13.13,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 18:00:00",976,13.1,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 18:15:00",977,13.08,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.047
"2018-04-30 18:30:00",978,13.06,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.038,0.06,0.048
"2018-04-30 18:45:00",979,13.05,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.037,0.06,0.048
"2018-04-30 19:00:00",980,13.04,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 19:15:00",981,13.02,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 19:30:00",982,13.01,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 19:45:00",983,13,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 20:00:00",984,12.99,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 20:15:00",985,12.98,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 20:30:00",986,12.96,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.036,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 20:45:00",987,12.95,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 21:00:00",988,12.94,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
"2018-04-30 21:15:00",989,12.93,0.044,0.049,0.037,0.026,0.038,0.026,0.053,0.041,0.035,0.022,0.034,0.033,0.038,0.037,0.06,0.047
