"TOA5","DroughtNet","CR1000","68414","CR1000.Std.27.04","CPU:DryNet20151110.CR1","60679","SoilProfile"
"TIMESTAMP","RECORD","VW_Avg(17)","VW_Avg(18)","VW_Avg(19)","Tsoil_Avg(1)","Tsoil_Avg(2)","Tsoil_Avg(3)"
"TS","RN","","","","C","C","C"
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-03-31 05:15:00",21669,0.056,0.063,0.076,21.29,21.69,22.11
"2018-03-31 05:30:00",21670,0.057,0.063,0.076,21.27,21.68,22.1
"2018-03-31 05:45:00",21671,0.056,0.063,0.076,21.25,21.67,22.11
"2018-03-31 06:00:00",21672,0.056,0.063,0.076,21.23,21.66,22.1
"2018-03-31 06:15:00",21673,0.056,0.063,0.076,21.22,21.64,22.1
"2018-03-31 06:30:00",21674,0.057,0.063,0.076,21.19,21.64,22.1
"2018-03-31 06:45:00",21675,0.056,0.063,0.076,21.17,21.63,22.1
"2018-03-31 07:00:00",21676,0.056,0.063,0.076,21.16,21.62,22.1
"2018-03-31 07:15:00",21677,0.056,0.063,0.076,21.16,21.61,22.09
"2018-03-31 07:30:00",21678,0.118,0.063,0.076,21.16,21.6,22.09
"2018-03-31 07:45:00",21679,0.056,0.063,0.076,21.17,21.59,22.09
"2018-03-31 08:00:00",21680,0.056,0.063,0.076,21.18,21.57,22.08
"2018-03-31 08:15:00",21681,0.056,0.063,0.09,21.2,21.56,22.08
"2018-03-31 08:30:00",21682,0.158,0.063,0.076,21.23,21.56,22.07
"2018-03-31 08:45:00",21683,0.056,0.063,0.075,21.27,21.55,22.07
"2018-03-31 09:00:00",21684,0.056,0.063,0.076,21.3,21.54,22.06
"2018-03-31 09:15:00",21685,0.057,0.063,0.076,21.35,21.54,22.06
"2018-03-31 09:30:00",21686,0.099,0.063,0.075,21.38,21.53,22.05
"2018-03-31 09:45:00",21687,0.056,0.063,0.075,21.42,21.52,22.04
"2018-03-31 10:00:00",21688,0.069,0.063,0.075,21.47,21.52,22.03
"2018-03-31 10:15:00",21689,0.137,0.063,0.075,21.53,21.52,22.03
"2018-03-31 10:30:00",21690,0.138,0.063,0.075,21.58,21.53,22.02
"2018-03-31 10:45:00",21691,0.186,0.063,0.076,21.65,21.53,22.02
"2018-03-31 11:00:00",21692,0.186,0.063,0.075,21.71,21.54,22.02
"2018-03-31 11:15:00",21693,0.153,0.062,0.075,21.75,21.54,22.01
"2018-03-31 11:30:00",21694,0.153,0.063,0.075,21.83,21.55,22.01
"2018-03-31 11:45:00",21695,0.153,0.062,0.075,21.89,21.56,22.01
"2018-03-31 12:00:00",21696,0.199,0.062,0.089,21.96,21.57,22
"2018-03-31 12:15:00",21697,0.055,0.062,0.075,21.99,21.58,22
"2018-03-31 12:30:00",21698,0.169,0.062,0.075,22.03,21.59,21.99
"2018-03-31 12:45:00",21699,0.203,0.062,0.075,22.08,21.6,21.99
"2018-03-31 13:00:00",21700,0.22,0.075,0.075,22.17,21.62,21.98
"2018-03-31 13:15:00",21701,0.221,0.088,0.075,22.23,21.63,21.98
"2018-03-31 13:30:00",21702,0.201,0.062,0.075,22.28,21.65,21.98
"2018-03-31 13:45:00",21703,0.141,0.075,0.075,22.35,21.66,21.98
"2018-03-31 14:00:00",21704,0.295,0.09,0.075,22.41,21.68,21.98
"2018-03-31 14:15:00",21705,0.294,0.09,0.075,22.45,21.7,21.98
"2018-03-31 14:30:00",21706,0.294,0.117,0.075,22.48,21.72,21.98
"2018-03-31 14:45:00",21707,0.274,0.061,0.075,22.53,21.74,21.99
"2018-03-31 15:00:00",21708,0.2,0.061,0.075,22.53,21.75,21.98
"2018-03-31 15:15:00",21709,0.2,0.061,0.075,22.52,21.77,21.98
"2018-03-31 15:30:00",21710,0.217,0.061,0.074,22.54,21.79,21.99
"2018-03-31 15:45:00",21711,0.199,0.061,0.075,22.56,21.81,22
"2018-03-31 16:00:00",21712,0.199,0.061,0.074,22.57,21.83,22
"2018-03-31 16:15:00",21713,0.181,0.061,0.074,22.56,21.84,22
"2018-03-31 16:30:00",21714,0.165,0.061,0.074,22.55,21.86,22.01
"2018-03-31 16:45:00",21715,0.198,0.061,0.074,22.53,21.87,22.02
"2018-03-31 17:00:00",21716,0.198,0.061,0.074,22.5,21.89,22.02
"2018-03-31 17:15:00",21717,0.198,0.061,0.074,22.47,21.91,22.03
"2018-03-31 17:30:00",21718,0.18,0.061,0.074,22.44,21.92,22.04
"2018-03-31 17:45:00",21719,0.18,0.061,0.074,22.4,21.94,22.05
"2018-03-31 18:00:00",21720,0.18,0.061,0.074,22.36,21.96,22.06
"2018-03-31 18:15:00",21721,0.18,0.061,0.074,22.31,21.96,22.08
"2018-03-31 18:30:00",21722,0.149,0.061,0.074,22.26,21.97,22.09
"2018-03-31 18:45:00",21723,0.148,0.061,0.074,22.2,21.98,22.1
"2018-03-31 19:00:00",21724,0.133,0.061,0.075,22.13,21.99,22.11
"2018-03-31 19:15:00",21725,0.133,0.061,0.075,22.04,22,22.12
"2018-03-31 19:30:00",21726,0.133,0.061,0.075,21.95,22,22.14
"2018-03-31 19:45:00",21727,0.106,0.061,0.075,21.84,22,22.15
"2018-03-31 20:00:00",21728,0.132,0.061,0.075,21.73,22,22.16
"2018-03-31 20:15:00",21729,0.106,0.061,0.075,21.62,22,22.17
"2018-03-31 20:30:00",21730,0.08,0.061,0.075,21.51,21.99,22.18
"2018-03-31 20:45:00",21731,0.079,0.061,0.074,21.42,21.98,22.19
"2018-03-31 21:00:00",21732,0.052,0.061,0.074,21.34,21.96,22.2
"2018-03-31 21:15:00",21733,0.052,0.061,0.075,21.26,21.95,22.21
"2018-03-31 21:30:00",21734,0.052,0.061,0.074,21.19,21.93,22.21
"2018-03-31 21:45:00",21735,0.052,0.061,0.074,21.1,21.91,22.22
"2018-03-31 22:00:00",21736,0.052,0.061,0.074,21.03,21.88,22.22
"2018-03-31 22:15:00",21737,0.052,0.061,0.074,21,21.86,22.22
"2018-03-31 22:30:00",21738,0.052,0.061,0.074,20.95,21.84,22.23
"2018-03-31 22:45:00",21739,0.052,0.061,0.074,20.87,21.81,22.23
"2018-03-31 23:00:00",21740,0.052,0.061,0.074,20.8,21.79,22.23
"2018-03-31 23:15:00",21741,0.052,0.061,0.074,20.72,21.76,22.24
"2018-03-31 23:30:00",21742,0.052,0.061,0.074,20.65,21.74,22.24
"2018-03-31 23:45:00",21743,0.052,0.061,0.074,20.58,21.71,22.23
"2018-04-01 00:00:00",21744,0.053,0.061,0.074,20.52,21.68,22.23
"2018-04-01 00:15:00",21745,0.052,0.061,0.074,20.47,21.66,22.23
"2018-04-01 00:30:00",21746,0.052,0.061,0.074,20.41,21.63,22.24
"2018-04-01 00:45:00",21747,0.052,0.061,0.074,20.35,21.6,22.23
"2018-04-01 01:00:00",21748,0.052,0.061,0.074,20.29,21.57,22.23
"2018-04-01 01:15:00",21749,0.052,0.061,0.074,20.23,21.54,22.23
"2018-04-01 01:30:00",21750,0.052,0.061,0.074,20.18,21.52,22.22
"2018-04-01 01:45:00",21751,0.053,0.061,0.074,20.14,21.49,22.22
"2018-04-01 02:00:00",21752,0.052,0.061,0.074,20.09,21.46,22.22
"2018-04-01 02:15:00",21753,0.052,0.061,0.074,20.04,21.44,22.21
"2018-04-01 02:30:00",21754,0.053,0.061,0.074,19.97,21.42,22.22
"2018-04-01 02:45:00",21755,0.053,0.061,0.074,19.91,21.38,22.21
"2018-04-01 03:00:00",21756,0.052,0.061,0.074,19.86,21.36,22.21
"2018-04-01 03:15:00",21757,0.052,0.061,0.074,19.8,21.34,22.2
"2018-04-01 03:30:00",21758,0.052,0.061,0.074,19.74,21.31,22.19
"2018-04-01 03:45:00",21759,0.053,0.061,0.074,19.69,21.27,22.18
"2018-04-01 04:00:00",21760,0.052,0.061,0.074,19.64,21.24,22.17
"2018-04-01 04:15:00",21761,0.052,0.061,0.074,19.59,21.21,22.17
"2018-04-01 04:30:00",21762,0.053,0.061,0.074,19.55,21.18,22.16
"2018-04-01 04:45:00",21763,0.053,0.061,0.074,19.52,21.15,22.14
"2018-04-01 05:00:00",21764,0.052,0.061,0.074,19.51,21.12,22.14
"2018-04-01 05:15:00",21765,0.053,0.061,0.074,19.49,21.09,22.13
"2018-04-01 05:30:00",21766,0.052,0.061,0.074,19.48,21.07,22.12
"2018-04-01 05:45:00",21767,0.052,0.061,0.074,19.49,21.04,22.11
"2018-04-01 06:00:00",21768,0.052,0.061,0.074,19.53,21.01,22.1
"2018-04-01 06:15:00",21769,0.079,0.061,0.074,19.57,20.98,22.09
"2018-04-01 06:30:00",21770,0.078,0.061,0.074,19.61,20.96,22.07
"2018-04-01 06:45:00",21771,0.052,0.061,0.074,19.64,20.94,22.06
"2018-04-01 07:00:00",21772,0.052,0.061,0.074,19.68,20.92,22.04
"2018-04-01 07:15:00",21773,0.105,0.061,0.074,19.72,20.89,22.03
"2018-04-01 07:30:00",21774,0.105,0.061,0.074,19.77,20.88,22.02
"2018-04-01 07:45:00",21775,0.132,0.061,0.075,19.83,20.87,22
"2018-04-01 08:00:00",21776,0.118,0.061,0.075,19.89,20.85,21.98
"2018-04-01 08:15:00",21777,0.132,0.061,0.075,19.96,20.84,21.97
"2018-04-01 08:30:00",21778,0.132,0.061,0.075,20.02,20.84,21.96
"2018-04-01 08:45:00",21779,0.132,0.061,0.075,20.11,20.84,21.95
"2018-04-01 09:00:00",21780,0.132,0.061,0.075,20.18,20.83,21.93
"2018-04-01 09:15:00",21781,0.131,0.061,0.075,20.27,20.83,21.92
"2018-04-01 09:30:00",21782,0.139,0.061,0.075,20.4,20.83,21.91
"2018-04-01 09:45:00",21783,0.165,0.061,0.075,20.54,20.84,21.89
"2018-04-01 10:00:00",21784,0.269,0.061,0.075,20.72,20.84,21.88
"2018-04-01 10:15:00",21785,0.139,0.061,0.075,20.87,20.84,21.85
"2018-04-01 10:30:00",21786,0.131,0.061,0.075,21.03,20.85,21.84
"2018-04-01 10:45:00",21787,0.165,0.061,0.088,21.21,20.87,21.82
"2018-04-01 11:00:00",21788,0.18,0.061,0.075,21.35,20.88,21.81
"2018-04-01 11:15:00",21789,0.181,0.06,0.075,21.5,20.91,21.8
"2018-04-01 11:30:00",21790,0.213,0.06,0.074,21.66,20.93,21.78
"2018-04-01 11:45:00",21791,0.23,0.06,0.074,21.8,20.96,21.77
"2018-04-01 12:00:00",21792,0.213,0.06,0.074,21.99,20.99,21.76
"2018-04-01 12:15:00",21793,0.195,0.06,0.074,22.15,21.03,21.75
"2018-04-01 12:30:00",21794,0.212,0.06,0.074,22.29,21.06,21.74
"2018-04-01 12:45:00",21795,0.177,0.06,0.074,22.44,21.1,21.73
"2018-04-01 13:00:00",21796,0.213,0.06,0.074,22.55,21.14,21.72
"2018-04-01 13:15:00",21797,0.194,0.06,0.074,22.68,21.18,21.72
"2018-04-01 13:30:00",21798,0.211,0.059,0.073,22.84,21.23,21.72
"2018-04-01 13:45:00",21799,0.176,0.059,0.073,22.98,21.28,21.72
"2018-04-01 14:00:00",21800,0.21,0.059,0.073,23.08,21.32,21.72
