"TOA5","DroughtNet","CR1000","68414","CR1000.Std.27.04","CPU:DryNet20151110.CR1","60679","soilM"
"TIMESTAMP","RECORD","BattV_Avg","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","VW_Avg(4)","VW_Avg(5)","VW_Avg(6)","VW_Avg(7)","VW_Avg(8)","VW_Avg(9)","VW_Avg(10)","VW_Avg(11)","VW_Avg(12)","VW_Avg(13)","VW_Avg(14)","VW_Avg(15)","VW_Avg(16)"
"TS","RN","Volts","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-03-31 05:15:00",21669,12.51,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.061,0.285,0.03,0.061,0.056,"NAN","NAN",0.279,0.469
"2018-03-31 05:30:00",21670,12.5,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.061,0.285,0.03,0.061,0.056,"NAN","NAN",0.142,0.468
"2018-03-31 05:45:00",21671,12.5,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.061,0.285,0.03,0.061,0.056,"NAN","NAN",0.144,0.418
"2018-03-31 06:00:00",21672,12.49,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.061,0.285,0.03,0.06,0.056,"NAN","NAN",0.076,0.418
"2018-03-31 06:15:00",21673,12.49,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.06,0.285,0.03,0.06,0.056,"NAN","NAN",0.077,0.394
"2018-03-31 06:30:00",21674,12.48,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.06,0.285,0.03,0.061,0.056,"NAN","NAN",0.22,0.224
"2018-03-31 06:45:00",21675,12.56,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.06,0.267,0.03,0.061,0.056,"NAN","NAN",0.22,0.225
"2018-03-31 07:00:00",21676,12.85,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.06,0.285,0.03,0.06,0.056,"NAN","NAN",0.28,0.335
"2018-03-31 07:15:00",21677,13.2,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.061,0.285,0.03,0.06,0.056,"NAN","NAN",0.143,0.469
"2018-03-31 07:30:00",21678,13.76,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.06,0.285,0.03,0.06,0.056,"NAN","NAN",0.144,"NAN"
"2018-03-31 07:45:00",21679,14.06,0.061,0.078,0.085,"NAN",0.05,0.185,0.08,0.061,0.297,0.029,0.06,0.056,"NAN","NAN",0.107,"NAN"
"2018-03-31 08:00:00",21680,14.17,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.061,0.236,0.03,0.06,0.056,"NAN","NAN",0.171,0.413
"2018-03-31 08:15:00",21681,14.15,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.061,0.251,0.03,0.06,0.056,"NAN","NAN",0.125,"NAN"
"2018-03-31 08:30:00",21682,14.13,0.061,0.078,0.085,"NAN",0.05,0.032,0.08,0.061,0.268,0.03,0.06,0.056,"NAN","NAN",0.143,0.445
