"TOA5","DroughtNet","CR1000","73052","CR1000.Std.28.02","CPU:DryNet20151110.CR1","60679","PAR"
"TIMESTAMP","RECORD","PAR_Den_1_Avg","PAR_Den_2_Avg"
"TS","RN","umol/s/m^2","umol/s/m^2"
"","","Avg","Avg"
"2018-04-30 05:15:00",925,0.001,0.001
"2018-04-30 05:30:00",926,0.001,0.001
"2018-04-30 05:45:00",927,0,0.001
"2018-04-30 06:00:00",928,0.003,0.003
"2018-04-30 06:15:00",929,0.086,0.069
"2018-04-30 06:30:00",930,2.243,1.728
"2018-04-30 06:45:00",931,15.92,12.01
"2018-04-30 07:00:00",932,42.32,32.04
"2018-04-30 07:15:00",933,113.6,115.2
"2018-04-30 07:30:00",934,160.2,162.8
"2018-04-30 07:45:00",935,269.7,277.9
"2018-04-30 08:00:00",936,434,440.1
"2018-04-30 08:15:00",937,547,540.1
"2018-04-30 08:30:00",938,616.9,598.7
"2018-04-30 08:45:00",939,734.6,613
"2018-04-30 09:00:00",940,792.5,351.3
"2018-04-30 09:15:00",941,519.6,396.3
"2018-04-30 09:30:00",942,426.3,330.2
"2018-04-30 09:45:00",943,441.9,341.3
"2018-04-30 10:00:00",944,464.6,360.4
"2018-04-30 10:15:00",945,467.3,362.9
"2018-04-30 10:30:00",946,498.3,385
"2018-04-30 10:45:00",947,867,763.4
"2018-04-30 11:00:00",948,1329,1388
"2018-04-30 11:15:00",949,1368,1505
"2018-04-30 11:30:00",950,1384,1577
"2018-04-30 11:45:00",951,1404,1569
"2018-04-30 12:00:00",952,1410,932
"2018-04-30 12:15:00",953,1473,785.6
"2018-04-30 12:30:00",954,940,589.6
"2018-04-30 12:45:00",955,519.9,318.1
"2018-04-30 13:00:00",956,1311,812
"2018-04-30 13:15:00",957,649,445
"2018-04-30 13:30:00",958,978,767.4
"2018-04-30 13:45:00",959,1294,1034
"2018-04-30 14:00:00",960,607.5,458.9
"2018-04-30 14:15:00",961,512.3,327.7
"2018-04-30 14:30:00",962,266.9,197.7
"2018-04-30 14:45:00",963,809,584.1
"2018-04-30 15:00:00",964,356.8,253.6
"2018-04-30 15:15:00",965,234.9,173.5
"2018-04-30 15:30:00",966,211.9,160.2
"2018-04-30 15:45:00",967,358.2,340.7
